frame_num,uav_lat,uav_lon,error,true_distance,u,v,phi,true_posex,true_posey
390,32.30042695,119.8866631,0.0,0.0,0.0,0.0,-40.817513,0.0,0.0
391,32.3010241071032,119.88574445180103,14.697950044741606,94.3287865102762,-207.47122192382812,-919.0845336914062,-41.476415,-76.03982499463018,55.81993352994323
392,32.30151166385664,119.884994393403,9.155179558166648,189.0477230707575,-303.4832229614258,-1682.3301391601562,-41.619654,-152.09590893704444,112.27589270565659
393,32.30190555561723,119.884388418921,14.787313025828807,284.6927685879631,-491.7926254272461,-2279.575439453125,-41.522251,-230.2739955431316,167.40328390710056
394,32.302310011565844,119.883766182404,35.696189706591106,379.40807668843763,-683.7861557006836,-2893.0823364257812,-40.290392,-306.32834570563864,223.86029856512323
395,32.30280662076453,119.88300215887419,40.62287185270773,474.9738154486879,-927.3286666870117,-3645.0142211914062,-41.476415,-383.45565219945274,280.2889369172044
396,32.3033222420906,119.88220886974439,40.44087043145543,568.9117356006818,-945.3014068603516,-4466.840637207031,-41.035237,-459.4740727508906,335.47598926583305
397,32.30384670419116,119.88140196245604,40.700159637962834,664.9473256085956,-1074.9303741455078,-5283.2822265625,-40.85762,-537.6658041838091,391.24216138524935
398,32.30448097687951,119.88042608462774,19.702042070185644,759.7364902472528,-1414.5445709228516,-6238.6851806640625,-41.155558,-614.7563151755603,446.4013973600231
399,32.30504625587006,119.87955633841611,11.287133225727434,854.533338863004,-1628.8962860107422,-7105.626281738281,-43.424471,-691.8553855877835,501.56091620214283
400,32.305641700868904,119.87864015741214,1.830251454163186,950.183289489862,-1724.4671478271484,-8041.626159667969,-41.413389,-770.0273849284276,556.6921142661013
401,32.30608051190707,119.87796496737909,13.246169481036004,1045.2719379135478,-1851.5933990478516,-8721.493713378906,-41.384742,-846.0833303930704,613.7885810444131
402,32.306578883455096,119.87719811858705,16.198783216998923,1139.2086463113749,-1992.0686492919922,-9494.33056640625,-42.198342,-922.0966423181817,668.9799115490168
403,32.307119322960965,119.87636652243049,13.650657931014422,1235.165295215158,-2062.6194381713867,-10346.720703125,-40.897727,-999.2434610596392,726.0480783209205
404,32.30768626146,119.8754941321671,5.244856157204858,1330.4254069941296,-2190.2442016601562,-11231.532775878906,-41.304527,-1077.3949133064598,780.5459399400279
405,32.30817331419018,119.87474465248988,11.619295289214639,1425.5136518449374,-2324.3101959228516,-11987.401672363281,-39.304905,-1153.447375179967,837.6445094947703
406,32.30866546274211,119.8739873167199,16.128428855462992,1519.8354594961986,-2641.411422729492,-12719.404235839844,-40.250285,-1229.4742791091558,893.4723392198794
407,32.30909694650613,119.87332332200812,31.93965204969853,1614.628866377878,-2744.1455307006836,-13391.851379394531,-38.640274,-1306.566442045616,948.6361308009364
408,32.309677288463924,119.87243023701576,21.987321937163745,1710.741232752452,-3099.806755065918,-14258.240539550781,-39.63722,-1385.7882060129195,1003.1084754476324
409,32.310228625168634,119.87158176912384,15.798937664459533,1804.9823688745466,-3175.2736740112305,-15127.253173828125,-39.385119,-1460.772874817485,1060.2376904003322
410,32.310720546904605,119.87082472106971,20.65498126896215,1899.7675014883064,-3228.8414306640625,-15905.032165527344,-38.731947,-1537.8530299952254,1115.4033431210555
411,32.31128859792262,119.86995049480586,12.200999423270481,1994.9392596586597,-3525.596221923828,-16762.08642578125,-39.018426,-1614.9493541459087,1171.2050346848555
412,32.311837534153604,119.86910566745797,7.493253017316026,2090.583912216825,-3620.7870559692383,-17623.830810546875,-38.508493,-1693.1109143374488,1226.3427440039814
413,32.31232792561375,119.86835092659715,13.632811875172527,2185.5983067441293,-3761.6440505981445,-18383.909118652344,-40.72584,-1768.1261693371926,1284.7450360860676
414,32.312838191871585,119.86756558178196,14.769284272402432,2280.4671767983273,-4013.055534362793,-19156.453735351562,-39.356471,-1846.2519493161235,1338.6128208339214
415,32.31345498921732,119.86661625512829,4.772961245758099,2374.778278021994,-4160.191993713379,-20117.725952148438,-40.301851,-1922.2617172312457,1394.4467577617615
416,32.31402620515936,119.86573706324809,12.216954056443623,2470.807896478451,-4401.9873123168945,-20989.50372314453,-39.837755,-2000.4368058340624,1450.2221371792257
417,32.31449188657384,119.86502029108327,4.22542592383768,2565.511916375943,-4397.176339149475,-21735.556884765625,-39.557006,-2076.471239117789,1506.6912710252218
418,32.31507927302559,119.86411617297547,14.822177896018822,2660.688405835667,-4639.774010658264,-22633.087768554688,-40.639896,-2153.570900022518,1562.4964548838325
419,32.31560527076203,119.86330652795257,16.67310767034728,2754.997445918748,-4744.420914649963,-23456.525817871094,-40.307581,-2229.5771901845,1618.3313875803724
420,32.31607048809841,119.86259042551345,7.418234819391647,2849.3992585139767,-4823.79319858551,-24187.126342773438,-39.90651,-2306.641142683802,1672.8666334464215
421,32.31664580153786,119.86170483553774,15.353010879698921,2946.2006148966407,-5065.445786476135,-25065.527099609375,-39.803378,-2384.8458315536845,1729.9157271203585
422,32.317176184426195,119.86088839014032,18.519095875579122,3039.742778581455,-5158.070282936096,-25898.108947753906,-40.055479,-2460.825023095589,1784.482100118883
423,32.3177046838148,119.8600748271231,19.553060849379854,3135.2967240368725,-5210.8080224990845,-26734.66339111328,-38.857998,-2537.9279105070746,1840.9257097519003
424,32.31831358382276,119.85913747572901,35.17351359701016,3230.5498584389234,-5609.983864784241,-27639.27801513672,-37.60895,-2616.062060017837,1895.4344319957308
425,32.31872894355544,119.858498050727,16.335413075081423,3325.6372147817233,-5571.90053653717,-28310.673461914062,-38.903834,-2692.106537213549,1952.5432841894217
426,32.31923561127822,119.85771804757475,14.425294284952985,3420.7249230950583,-5688.7672662734985,-29101.089965820312,-39.413767,-2768.1501404257724,2009.65265644202
427,32.31983783530689,119.85679091744036,29.548980633652228,3514.730241311572,-6053.3471002578735,-30001.09912109375,-39.992454,-2845.1817289483733,2063.5575103322044
428,32.320406988471376,119.85631324334322,18.299117749536688,3610.204233840301,-2346864387367.0312,410643319488.4922,-40.101316,-2921.2405520261964,2121.303431203589
429,32.32091964489656,119.85552397450097,18.58747032564465,3705.8413966562516,-2346864387601.2188,410643318709.0,-39.694516,-2999.3873193773907,2176.4503590776585
430,32.321467666692705,119.85468024062249,20.640982655441707,3801.0057465058403,-2346864387779.4062,410643317863.10156,-39.430955,-3076.467145312112,2232.2622132683173
431,32.32199835983663,119.85386316849834,23.48189692086586,3895.0167359816273,-2346864387920.5625,410643317038.4492,-40.215908,-3153.5047037922777,2286.167854016181
432,32.3225345369292,119.85303763582957,23.886113262015428,3990.953895022462,-2346864388118.0625,410643316214.8711,-39.471063,-3230.6166729338,2343.2517800605856
433,32.323124598936424,119.85212911825491,33.49519473305716,4086.124575307615,-2346864388301.0312,410643315302.5,-40.536764,-3307.7033130589407,2399.0649923901074
434,32.32361303560098,119.8513770570418,28.89414797027536,4180.428369635572,-2346864388570.0938,410643314567.83594,-42.072291,-3383.69671091123,2454.9089437741786
435,32.32412813601624,119.85058392509053,27.0723088926265,4275.512678827647,-2346864388542.3438,410643313738.5547,-42.461902,-3459.7324814745225,2512.0230539240874
436,32.32464342665684,119.84979048416784,28.167206327949284,4370.846560462502,-2346864388735.7812,410643312947.66406,-40.611249,-3538.905380785116,2565.238460836932
437,32.32518434347855,119.84895756687428,31.218811110693114,4465.15583147247,-2346864388810.7188,410643312095.0156,-37.815214,-3614.9055869975127,2621.0826382292435
438,32.32569131314348,119.84817690614238,29.13687484364519,4560.317110132391,-2346864389143.1562,410643311341.75,-38.485575,-3691.9784790433478,2676.8987756818533
439,32.32622569978252,119.84735401020563,31.049998439535884,4655.47800051395,-2346864389370.5312,410643310526.21094,-39.746082,-3769.0505018248223,2732.71544950502
440,32.32665863810373,119.84668732072973,19.615126574006467,4751.033386324208,-2346864389443.7188,410643309846.0625,-39.190313,-3846.147999601206,2789.169016594533
441,32.32701319219907,119.84588056060944,3.3769917590201266,4846.193490649402,-811686426216.4375,142025051103.875,-38.181907,-3923.218279225519,2844.986763126217
442,32.32760515368865,119.84496895273844,11.794409665762108,4940.500929937282,-811686862812.6562,142025126549.9375,-38.15326,-3999.214173501823,2900.833575573284
443,32.32813080009175,119.84415945068667,13.081153267035035,5035.273480319058,-811686716563.625,142025100118.60156,-39.224691,-4076.2658366812393,2956.016889381688
444,32.32868636996504,119.84330384795365,19.01908119455411,5130.905609033858,-811686962842.75,142025142322.10156,-39.127288,-4154.399559501093,3011.1719759642147
445,32.32915993833734,119.84257451632325,11.125779917204591,5225.685738649811,-811686682247.7188,142025092466.875,-37.500088,-4231.45894177712,3066.3572301971726
446,32.32976039797284,119.84164974289241,25.097125358736054,5320.764771014628,-811686724549.0312,142025098907.42188,-39.316364,-4307.4851395089645,3123.477152370382
447,32.33027179385791,119.84086212012599,23.00930189656977,5416.395773231402,-811686897889.4062,142025128419.125,-37.74646,-4385.616248141741,3178.633872643113
448,32.33084486516121,119.83997948939579,33.66125279116142,5510.314106344133,-811686547697.1875,142025066226.8125,-37.975643,-4461.5901124905795,3233.8483604989015
449,32.33127542891967,119.83931633232322,15.928461490326187,5606.54509490603,-811686898051.1875,142025126840.90625,-39.047074,-4537.654856290203,3292.8766005425714
450,32.331841485378575,119.83844447129404,25.399327567327855,5700.462700273371,-811686866963.0625,142025120495.14844,-42.22126,-4613.6269990006695,3348.0921300495975
